Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store : 43571
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, bank, florist, pharmacy, salon, bike_shop : 37904
Saved path: barber_shop, party_store, pharmacy, gelateria, craft_shop, dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, bakery, pet_store : 49355
Saved path: barber_shop, jewelry_store, pet_store, bakery, music_store, florist, bank, gym, burger_joint, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 46289
Saved path: florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, jewelry_store, pharmacy, gelateria, music_store : 47974
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, florist, bank, craft_shop, pizzeria, gym, burger_joint : 46766
Saved path: gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, gelateria, party_store, salon, bike_shop, bakery : 36475
Saved path: hardware_store, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym : 28982
Saved path: burger_joint, bookstore, pizzeria, bank, florist, music_store, party_store, bakery, pet_store, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist : 47593
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store, noodle_house : 41475
Saved path: tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, bank, craft_shop, pizzeria, gym, burger_joint : 43931
Saved path: florist, gelateria, pharmacy, party_store, bakery, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 33352
Saved path: cafe, pizzeria, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, burger_joint, noodle_house, toy_store, grocery_store : 38893
Saved path: craft_shop, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, tech_shop, cafe, bookstore, pizzeria : 41452
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, bank, gelateria, music_store, salon, bakery, pet_store : 43681
Saved path: pizzeria, bank, florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist : 47421
Saved path: hardware_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store, gym : 36286
Saved path: jewelry_store, bakery, pet_store, bike_shop, salon, music_store, florist, pizzeria, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 51433
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, bank, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store : 48234
Saved path: bank, florist, gelateria, music_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, burger_joint, gym : 40859
Saved path: dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, salon, pharmacy, gelateria, music_store, pizzeria : 47144
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, gym, pizzeria, florist : 43385
Saved path: craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, jewelry_store, pharmacy, music_store, florist : 51600
Saved path: pizzeria, craft_shop, bank, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 32360
Saved path: bakery, pet_store, bike_shop, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, music_store, gelateria, pharmacy, party_store : 48704
Saved path: party_store, pharmacy, florist, pizzeria, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 47615
Saved path: salon, bike_shop, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, gym, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store : 32835
Saved path: noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store : 39310
Saved path: salon, party_store, gelateria, florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery : 41038
Saved path: burger_joint, gym, craft_shop, bank, florist, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore : 40399
Saved path: florist, pizzeria, gym, burger_joint, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria : 49333
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, pharmacy, party_store, bakery, pet_store : 39752
Saved path: dentist, pizzeria, bank, pharmacy, pet_store, bakery, salon, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe : 47783
Saved path: pet_store, bike_shop, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, pharmacy, gelateria, party_store, bakery : 49419
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, pizzeria : 46632
