Saved path: toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 46759
Saved path: bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, jewelry_store, party_store, pharmacy, music_store, gelateria, pizzeria : 45472
Saved path: hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym : 38560
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, florist, music_store, gelateria, pharmacy, bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop : 34609
Saved path: barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store : 41386
Saved path: party_store, music_store, gelateria, bank, craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, pet_store : 47262
Saved path: bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, bank, florist, pharmacy, party_store, salon, bike_shop : 35838
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, burger_joint : 39548
Saved path: bakery, barber_shop, toy_store, grocery_store, dentist, burger_joint, gym, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop : 41321
Saved path: salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, craft_shop, bank, music_store : 34665
Saved path: gelateria, pharmacy, bike_shop, salon, jewelry_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store : 42765
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, pharmacy, music_store, party_store, hardware_store, gym, bookstore, cafe, grocery_store, tech_shop, noodle_house : 39799
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, craft_shop, bank : 47450
Saved path: dentist, craft_shop, bank, florist, party_store, salon, pet_store, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 43628
Saved path: pharmacy, gelateria, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery : 38412
Saved path: tech_shop, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, bank, gelateria, bike_shop, pet_store, bakery, barber_shop, toy_store : 51857
Saved path: tech_shop, noodle_house, toy_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, florist, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store : 34352
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, gelateria, music_store, bike_shop, pet_store, bakery : 53569
Saved path: bank, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, jewelry_store, bakery, party_store, florist : 36980
Saved path: cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, party_store, pharmacy, bank, craft_shop, pizzeria, bookstore : 35209
Saved path: pet_store, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, bookstore, craft_shop, bank, florist, music_store, gelateria, barber_shop, bakery : 47938
Saved path: pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery : 42611
Saved path: barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, music_store, florist, bank, gym, bookstore, cafe, tech_shop, clothing_store, toy_store : 46418
Saved path: bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, bank, gelateria, music_store, pet_store : 43638
Saved path: bakery, pet_store, salon, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, barber_shop : 46891
Saved path: hardware_store, gym, toy_store, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop : 35957
Saved path: craft_shop, dentist, bookstore, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, gelateria, music_store : 53768
Saved path: pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store, gym, bakery, jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop : 39170
Saved path: grocery_store, cafe, pizzeria, florist, music_store, gelateria, pharmacy, party_store, bike_shop, salon, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store : 35397
Saved path: party_store, pharmacy, bank, pizzeria, gym, dentist, cafe, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 49900
Saved path: gelateria, pizzeria, gym, burger_joint, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store : 50675
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, bakery : 42604
Saved path: florist, bank, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy : 40361
Saved path: salon, bakery, hardware_store, gym, toy_store, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, music_store, pharmacy : 37026
Saved path: tech_shop, clothing_store, toy_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, bank, craft_shop, pizzeria, gym, burger_joint, noodle_house : 36334
