Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop : 38880
Saved path: pharmacy, gelateria, bank, pizzeria, bookstore, dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 46266
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, salon, party_store, music_store, florist, bank, craft_shop, dentist : 35070
Saved path: pizzeria, craft_shop, florist, music_store, gelateria, party_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym : 36466
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, pet_store, jewelry_store, hardware_store, gym, toy_store : 50235
Saved path: florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, pet_store, bakery, gelateria : 46747
Saved path: pizzeria, bank, florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore : 49724
Saved path: bakery, barber_shop, party_store, gelateria, music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop : 41953
Saved path: party_store, bakery, bike_shop, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, gelateria : 39057
Saved path: bakery, barber_shop, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, pet_store : 50125
Saved path: grocery_store, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, salon, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 33616
Saved path: music_store, florist, pizzeria, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, pharmacy : 45885
Saved path: hardware_store, toy_store, noodle_house, tech_shop, grocery_store, pizzeria, bank, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 44744
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, grocery_store, dentist, bookstore, burger_joint, gym, bank, florist, gelateria, party_store, bakery : 40858
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop, dentist, clothing_store : 40769
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, music_store, florist, gym, bookstore, dentist : 51689
Saved path: gym, bank, music_store, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria : 39855
Saved path: noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, bakery, salon, jewelry_store, hardware_store, toy_store : 42101
Saved path: bookstore, grocery_store, clothing_store, toy_store, gym, bakery, bike_shop, salon, jewelry_store, gelateria, music_store, craft_shop, dentist, cafe, burger_joint : 43201
Saved path: music_store, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist : 40932
Saved path: toy_store, clothing_store, dentist, cafe, burger_joint, gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery : 36674
Saved path: gelateria, pharmacy, party_store, salon, bakery, jewelry_store, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, bank, florist : 31922
Saved path: cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, toy_store, clothing_store, tech_shop : 44724
Saved path: tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, gym, pizzeria, bank, dentist, cafe, burger_joint, noodle_house : 35766
Saved path: florist, pizzeria, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, music_store : 51265
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, florist, bank, craft_shop, pizzeria, burger_joint, noodle_house, toy_store : 36158
Saved path: gelateria, pharmacy, party_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, cafe, pizzeria, craft_shop, florist, music_store : 33973
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym : 49125
Saved path: bakery, party_store, gelateria, florist, gym, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 49381
Saved path: pharmacy, hardware_store, gym, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, pet_store, bakery, salon : 50138
Saved path: jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, cafe, tech_shop, toy_store, hardware_store : 36440
Saved path: burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, music_store, gelateria, party_store, jewelry_store, bakery, pet_store : 46240
Saved path: gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint : 50140
Saved path: craft_shop, bank, florist, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, gym : 39038
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore : 41789
