Saved path: bookstore, pizzeria, florist, pharmacy, party_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe : 36015
Saved path: bike_shop, bakery, pharmacy, music_store, bank, pizzeria, gym, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon : 37941
Saved path: pet_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, bookstore, dentist, craft_shop, bank, florist, music_store, barber_shop, bakery : 53149
Saved path: noodle_house, toy_store, gym, jewelry_store, pet_store, salon, party_store, pharmacy, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store : 49635
Saved path: bakery, barber_shop, party_store, gelateria, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 52246
Saved path: bank, florist, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore : 41278
Saved path: barber_shop, bakery, bike_shop, pharmacy, music_store, florist, pizzeria, bookstore, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store : 42756
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore : 42857
Saved path: florist, gelateria, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, dentist, craft_shop : 37867
Saved path: florist, music_store, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, cafe, burger_joint, hardware_store, gym, pizzeria, bank : 35498
Saved path: bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, burger_joint, dentist : 40428
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, pizzeria, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym : 52741
Saved path: gym, hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, noodle_house, toy_store : 36262
Saved path: clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, bank, craft_shop, dentist, cafe : 50346
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist : 39782
Saved path: jewelry_store, barber_shop, bakery, salon, party_store, gelateria, bank, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store : 35718
Saved path: salon, jewelry_store, barber_shop, toy_store, burger_joint, dentist, cafe, bookstore, pizzeria, florist, gym, hardware_store, party_store, bakery, pet_store : 48523
Saved path: barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, burger_joint, hardware_store, gym, florist, pharmacy, bakery, bike_shop, salon, jewelry_store : 36072
Saved path: hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, florist, party_store, salon, bike_shop, bakery, jewelry_store : 32571
Saved path: pharmacy, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 49545
Saved path: pizzeria, bank, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, grocery_store, dentist, craft_shop : 50177
Saved path: barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, dentist, craft_shop, gelateria, party_store, salon, bike_shop, bakery : 44260
Saved path: florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, gym, pizzeria, bank : 42845
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, party_store, pharmacy, gelateria, florist, bank, bookstore, dentist, clothing_store, tech_shop : 37616
Saved path: hardware_store, bakery, pet_store, bike_shop, party_store, music_store, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 48510
Saved path: cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, pet_store, bakery, party_store, music_store, gelateria, bank, craft_shop : 43344
Saved path: pharmacy, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon : 43304
Saved path: bank, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store : 44667
Saved path: grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store : 31110
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bookstore, grocery_store, clothing_store : 33488
Saved path: music_store, gelateria, pharmacy, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, craft_shop, bank : 51235
Saved path: barber_shop, bakery, bike_shop, salon, party_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store : 38456
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, bank, music_store, pharmacy, bakery, bike_shop, salon, hardware_store : 37503
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, music_store, craft_shop, dentist, cafe : 50894
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 47034
