Saved path: bank, florist, music_store, party_store, salon, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop : 47278
Saved path: clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house : 41546
Saved path: gelateria, pharmacy, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria : 40319
Saved path: pet_store, salon, jewelry_store, party_store, music_store, florist, pizzeria, bookstore, cafe, dentist, burger_joint, tech_shop, noodle_house, toy_store, hardware_store : 47663
Saved path: grocery_store, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store : 39082
Saved path: dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, bank, bookstore : 43639
Saved path: salon, bike_shop, pet_store, bakery, barber_shop, toy_store, gym, burger_joint, dentist, craft_shop, bank, florist, music_store, gelateria, party_store : 51314
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, bank, gym, dentist, bookstore, tech_shop, noodle_house, toy_store : 42583
Saved path: bank, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, salon, pharmacy, music_store, gelateria : 36662
Saved path: gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, dentist, burger_joint, gym, pizzeria, florist, music_store : 40519
Saved path: pet_store, bike_shop, party_store, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery : 47497
Saved path: noodle_house, grocery_store, dentist, bookstore, pizzeria, bank, florist, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, gym, toy_store : 47700
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, salon, music_store, florist, bank : 43298
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, craft_shop, bank, music_store, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, gym : 43230
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, burger_joint, gym, craft_shop, gelateria, party_store, salon, bike_shop, pet_store, bakery : 45956
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, party_store, jewelry_store, bike_shop, pet_store, hardware_store, gym : 51818
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, cafe, dentist, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, bakery : 45187
Saved path: bakery, salon, pharmacy, gelateria, music_store, florist, craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 35833
Saved path: pharmacy, gelateria, florist, craft_shop, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, pet_store, bakery : 42730
Saved path: florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, party_store, pharmacy, music_store : 35096
Saved path: bookstore, pizzeria, bank, pharmacy, salon, pet_store, bakery, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 42565
Saved path: florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, gelateria, music_store : 31423
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, bank, craft_shop, pizzeria, bookstore : 38551
Saved path: pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 45138
Saved path: salon, party_store, pharmacy, bank, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 49307
Saved path: cafe, bookstore, pizzeria, bank, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store : 35664
Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore, bank, florist, music_store, party_store, salon, bakery, pet_store, hardware_store, burger_joint : 40660
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, party_store, pet_store : 46838
Saved path: burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, pharmacy, party_store, salon, bike_shop, pet_store, gym, craft_shop, pizzeria, bookstore, cafe : 43094
Saved path: noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, clothing_store : 50111
Saved path: pet_store, bike_shop, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, bakery : 45929
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, bakery, bike_shop, salon, jewelry_store, barber_shop : 29634
Saved path: party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, gym, hardware_store : 35081
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery, party_store, gelateria, craft_shop, pizzeria, bookstore, grocery_store, clothing_store : 42983
Saved path: clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, florist, pharmacy, party_store, salon, bakery, hardware_store, gym, toy_store : 35150
Saved path: bike_shop, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store : 43863
