Saved path: clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, music_store, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 46002
Saved path: toy_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop, gym : 32130
Saved path: barber_shop, jewelry_store, bakery, pet_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, gym, cafe, grocery_store, noodle_house, toy_store : 46623
Saved path: gelateria, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store : 37966
Saved path: bank, florist, music_store, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist : 50913
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, party_store, salon, bakery, gym, bank, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 35358
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store : 32195
Saved path: pet_store, bike_shop, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery : 47589
Saved path: clothing_store, grocery_store, cafe, pizzeria, bank, gym, hardware_store, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop : 41417
Saved path: toy_store, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 47661
Saved path: bakery, barber_shop, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bike_shop : 44968
Saved path: party_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy : 40845
Saved path: salon, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, bank, florist, party_store, bakery : 32644
Saved path: florist, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, pet_store, bike_shop, party_store, gelateria, music_store : 47988
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, bookstore, bank, florist, music_store, gelateria, pharmacy : 43326
Saved path: pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, music_store, gelateria, pharmacy, party_store : 50286
Saved path: burger_joint, cafe, grocery_store, noodle_house, toy_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery : 34421
Saved path: florist, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, music_store : 32888
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria, florist, music_store, gelateria, party_store, jewelry_store, salon, pet_store, bakery, gym : 44832
Saved path: bank, gym, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store : 48005
Saved path: grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, pharmacy, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 46452
Saved path: toy_store, grocery_store, bookstore, craft_shop, bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, burger_joint, noodle_house : 40862
Saved path: gym, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, bookstore : 44865
Saved path: gelateria, music_store, pharmacy, salon, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria : 52871
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, dentist, burger_joint, tech_shop : 49404
Saved path: dentist, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, hardware_store, gym, toy_store, clothing_store, bookstore, burger_joint : 38245
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, dentist, cafe, bookstore : 39749
Saved path: pharmacy, gelateria, music_store, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store : 41725
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, pizzeria, florist : 45491
Saved path: pizzeria, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore : 37410
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, hardware_store, burger_joint, bookstore, bank, craft_shop, dentist, clothing_store, tech_shop : 38451
Saved path: bakery, hardware_store, gym, burger_joint, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 48137
Saved path: florist, bank, craft_shop, dentist, bookstore, burger_joint, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, pharmacy, music_store : 47103
Saved path: pizzeria, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, gelateria, music_store : 48600
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, craft_shop, music_store, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, hardware_store : 43499
