Saved path: gelateria, florist, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 47563
Saved path: gelateria, bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop : 49304
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, toy_store : 44899
Saved path: bank, florist, party_store, bakery, salon, jewelry_store, hardware_store, burger_joint, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, pizzeria : 32338
Saved path: bank, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop : 47694
Saved path: music_store, gelateria, party_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist : 38172
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery : 47958
Saved path: bookstore, craft_shop, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe : 47611
Saved path: dentist, clothing_store, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, pizzeria, gym, burger_joint, cafe : 43411
Saved path: party_store, gelateria, florist, gym, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 49992
Saved path: gym, hardware_store, jewelry_store, pet_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, clothing_store, toy_store, burger_joint : 51063
Saved path: clothing_store, toy_store, hardware_store, barber_shop, bakery, salon, party_store, gelateria, music_store, florist, bank, craft_shop, burger_joint, noodle_house, tech_shop : 36676
Saved path: pet_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 48019
Saved path: bank, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, pharmacy : 41241
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, salon, hardware_store, gym, toy_store : 36654
Saved path: pizzeria, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, party_store, pharmacy, music_store, florist : 35743
Saved path: hardware_store, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, gelateria, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store : 43687
Saved path: cafe, bookstore, florist, music_store, party_store, bakery, pet_store, bike_shop, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store : 42052
Saved path: florist, pizzeria, dentist, grocery_store, clothing_store, tech_shop, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria : 39424
Saved path: florist, music_store, gelateria, bakery, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria : 42420
Saved path: tech_shop, clothing_store, toy_store, gym, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint : 42866
Saved path: gelateria, florist, pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, party_store, pharmacy : 37883
Saved path: gelateria, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, bank, florist : 43639
Saved path: dentist, pizzeria, bank, florist, pharmacy, party_store, salon, bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 33903
Saved path: pizzeria, craft_shop, bank, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore : 32794
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, clothing_store, tech_shop : 44009
Saved path: noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, gym, toy_store : 47687
Saved path: gelateria, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop : 42077
Saved path: bike_shop, party_store, pharmacy, music_store, gelateria, bank, craft_shop, dentist, bookstore, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 44403
Saved path: party_store, pharmacy, gelateria, music_store, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bike_shop, salon : 42511
Saved path: clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop : 39063
Saved path: noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, florist, craft_shop, cafe, clothing_store, tech_shop : 44460
Saved path: gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, florist : 43297
Saved path: burger_joint, gym, pizzeria, craft_shop, bank, florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe : 37175
Saved path: bookstore, florist, gelateria, pharmacy, party_store, salon, pet_store, bakery, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 40310
