Saved path: craft_shop, bank, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria : 40588
Saved path: gelateria, music_store, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store : 45698
Saved path: tech_shop, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, music_store, bank, dentist, grocery_store, clothing_store, toy_store, noodle_house : 49905
Saved path: gelateria, music_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, pizzeria, bank : 44917
Saved path: pizzeria, bank, music_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore : 43331
Saved path: craft_shop, bank, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, gym : 42237
Saved path: noodle_house, tech_shop, bookstore, burger_joint, gym, bike_shop, pet_store, bakery, music_store, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store : 49595
Saved path: gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, florist : 38400
Saved path: music_store, pizzeria, dentist, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy : 51764
Saved path: cafe, bookstore, pizzeria, florist, gelateria, party_store, salon, pet_store, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 41157
Saved path: clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, craft_shop, bookstore, cafe, grocery_store : 41760
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym : 42598
Saved path: craft_shop, gym, pizzeria, bank, pharmacy, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, dentist : 37057
Saved path: bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, florist, party_store : 36252
Saved path: pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym, pizzeria, bank : 36824
Saved path: cafe, hardware_store, gym, craft_shop, bank, pharmacy, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store : 46012
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, pharmacy, music_store, florist, gym, burger_joint, cafe, dentist, clothing_store : 42964
Saved path: craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store : 44073
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, bookstore, bank, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store : 44359
Saved path: burger_joint, hardware_store, gym, pizzeria, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 45235
Saved path: pharmacy, gelateria, florist, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, party_store : 35656
Saved path: pharmacy, music_store, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon : 41666
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, music_store, florist, craft_shop, bookstore, cafe : 39061
Saved path: toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym : 40154
Saved path: pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, noodle_house, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery : 45088
Saved path: bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, pizzeria, craft_shop, bank, florist, gelateria, party_store, salon, bike_shop : 30763
Saved path: tech_shop, burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, party_store, florist, bank, pizzeria, cafe, clothing_store, toy_store, noodle_house : 35866
Saved path: pet_store, bike_shop, pharmacy, gelateria, music_store, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery : 49464
Saved path: music_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, cafe, dentist, bookstore, pizzeria, gelateria : 54484
Saved path: burger_joint, bookstore, pizzeria, florist, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe : 50007
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, bank : 37497
Saved path: party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, bank, gelateria, music_store : 33783
Saved path: salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, bookstore, music_store, gelateria, pharmacy, party_store : 42368
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, toy_store : 43889
Saved path: barber_shop, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop, bakery : 36880
