Saved path: barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store : 49621
Saved path: toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 35377
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, music_store, gelateria, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 45308
Saved path: pizzeria, bank, florist, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, gym : 34393
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, party_store : 35533
Saved path: craft_shop, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, dentist : 49760
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, dentist, cafe, burger_joint, tech_shop, noodle_house : 53158
Saved path: music_store, gelateria, bank, pizzeria, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store : 43857
Saved path: toy_store, barber_shop, jewelry_store, bakery, gelateria, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop : 36154
Saved path: party_store, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store : 43339
Saved path: pet_store, bike_shop, salon, gelateria, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery : 46292
Saved path: craft_shop, bank, gym, hardware_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, cafe, dentist : 43040
Saved path: hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, florist, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 38783
Saved path: barber_shop, jewelry_store, pharmacy, salon, bike_shop, bakery, gym, pizzeria, dentist, cafe, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 40931
Saved path: bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria : 38820
Saved path: barber_shop, jewelry_store, hardware_store, gym, noodle_house, grocery_store, dentist, cafe, bookstore, bank, florist, gelateria, pharmacy, party_store, bakery : 39401
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, pizzeria, craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store : 47663
Saved path: gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bank, pharmacy, party_store, bakery, pet_store, bike_shop : 46399
Saved path: gelateria, florist, bank, craft_shop, gym, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, salon, bike_shop, bakery : 37369
Saved path: pizzeria, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore : 35757
Saved path: pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, pharmacy : 47064
Saved path: florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, bakery, gelateria : 40868
Saved path: music_store, gelateria, bakery, pet_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 46142
Saved path: cafe, bookstore, pizzeria, gym, craft_shop, bank, florist, music_store, party_store, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store : 45773
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, hardware_store, gym : 32862
Saved path: craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, florist : 49537
Saved path: cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store, music_store, craft_shop, dentist : 49404
Saved path: pizzeria, florist, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist : 46612
Saved path: pizzeria, bank, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop : 46022
Saved path: party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, gym, bank, florist, music_store, gelateria, pharmacy : 35757
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, bakery, pet_store : 50922
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, music_store, gelateria, pizzeria, bookstore, cafe, dentist : 41180
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, barber_shop, bakery, bike_shop, gelateria, music_store, pizzeria, bookstore, cafe : 41531
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, bank : 46558
Saved path: gym, pizzeria, craft_shop, bank, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, hardware_store : 49560
