Saved path: burger_joint, bank, florist, music_store, gelateria, party_store, salon, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 44842
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, music_store, bank, pizzeria : 39468
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store : 37726
Saved path: music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, bank : 34885
Saved path: noodle_house, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store : 47202
Saved path: bike_shop, bakery, music_store, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, salon : 37651
Saved path: jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, pizzeria, bank, florist, gelateria, barber_shop : 49289
Saved path: bank, florist, music_store, gelateria, bakery, pet_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pizzeria : 42843
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, gelateria : 38369
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, party_store : 36474
Saved path: bakery, salon, party_store, gelateria, music_store, gym, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 52604
Saved path: party_store, pharmacy, florist, bank, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery, barber_shop : 36048
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, gelateria, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 51058
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, bank, gym, bakery, salon, party_store : 38267
Saved path: craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, bookstore : 41898
Saved path: gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, jewelry_store, pharmacy, salon, pet_store : 47802
Saved path: grocery_store, dentist, cafe, bookstore, florist, music_store, pharmacy, party_store, salon, pet_store, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store : 47923
Saved path: pharmacy, gelateria, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, gym, jewelry_store, bakery, salon, party_store : 31706
Saved path: gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, music_store : 45289
Saved path: pet_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, salon, bakery : 40841
Saved path: toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, jewelry_store, bike_shop, pet_store, bakery, pharmacy, florist, bank, dentist, clothing_store : 49155
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, music_store, gelateria, bank, craft_shop, bookstore : 38279
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, florist, party_store, salon, bike_shop, pet_store, gym : 45943
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, cafe, grocery_store, dentist, craft_shop, florist, party_store, salon, bakery, pet_store : 45469
Saved path: noodle_house, clothing_store, cafe, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, gym : 47367
Saved path: hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, florist, bank, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store : 38574
Saved path: craft_shop, florist, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, gym : 41898
Saved path: jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop, florist, pharmacy, bakery, pet_store, bike_shop : 42734
Saved path: cafe, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, salon, party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore : 30198
Saved path: burger_joint, bookstore, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store : 44264
Saved path: florist, bank, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, hardware_store, bike_shop, pet_store, bakery, barber_shop, gelateria : 51118
Saved path: craft_shop, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, pharmacy, gelateria, florist : 41701
Saved path: bakery, music_store, florist, craft_shop, pizzeria, gym, hardware_store, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 47995
Saved path: party_store, pharmacy, florist, pizzeria, craft_shop, dentist, cafe, tech_shop, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 44084
Saved path: pizzeria, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist : 49114
