Saved path: jewelry_store, party_store, music_store, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon : 50978
Saved path: burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, florist, bank, pizzeria, gym : 47262
Saved path: barber_shop, bakery, pet_store, salon, party_store, gelateria, music_store, florist, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store : 47343
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store : 36132
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store, music_store, florist, craft_shop, dentist, grocery_store, burger_joint, tech_shop : 49252
Saved path: bank, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store : 51646
Saved path: bookstore, cafe, burger_joint, gym, bank, florist, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house : 46396
Saved path: bank, florist, gelateria, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop : 43540
Saved path: craft_shop, florist, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 45046
Saved path: hardware_store, pet_store, bakery, barber_shop, pharmacy, music_store, florist, bank, pizzeria, craft_shop, dentist, clothing_store, tech_shop, toy_store, gym : 51706
Saved path: clothing_store, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, gym, burger_joint, bookstore : 47421
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery : 48194
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store : 48584
Saved path: bakery, barber_shop, music_store, florist, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, bike_shop : 40739
Saved path: bookstore, cafe, tech_shop, toy_store, gym, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, bank, craft_shop, pizzeria : 39683
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store : 48453
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, bank, florist, party_store, salon, bike_shop, pet_store, bakery : 40302
Saved path: music_store, pharmacy, barber_shop, pet_store, bakery, salon, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, bank, florist : 50797
Saved path: burger_joint, hardware_store, pet_store, bike_shop, salon, party_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, tech_shop : 45312
Saved path: cafe, bookstore, craft_shop, florist, music_store, gelateria, party_store, jewelry_store, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store : 46457
Saved path: pizzeria, gym, bank, gelateria, pharmacy, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, tech_shop, cafe, dentist, bookstore : 49183
Saved path: music_store, gelateria, bank, craft_shop, pizzeria, gym, burger_joint, cafe, clothing_store, noodle_house, toy_store, jewelry_store, bakery, bike_shop, salon : 37976
Saved path: noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, bank, music_store, party_store, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop : 39701
Saved path: grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store : 45317
Saved path: barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop, dentist, cafe, bookstore, toy_store, hardware_store, jewelry_store : 38150
Saved path: craft_shop, bank, music_store, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, cafe, gym, pizzeria : 46144
Saved path: bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, salon, gym, florist, bank, craft_shop, pizzeria : 28337
Saved path: music_store, florist, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon : 37662
Saved path: party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, bank, craft_shop, gym, hardware_store : 43319
Saved path: gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store, clothing_store, bookstore, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery : 39556
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, gym, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist : 38729
Saved path: bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, craft_shop : 40258
Saved path: burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, dentist, cafe, bookstore : 36865
Saved path: gym, hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore : 40553
