Saved path: grocery_store, cafe, burger_joint, pizzeria, craft_shop, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 32856
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, pet_store : 41169
Saved path: bookstore, pizzeria, gym, bank, florist, music_store, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist : 44306
Saved path: bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bookstore, grocery_store, clothing_store, toy_store, gym, bakery, pet_store : 45317
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, gelateria, craft_shop, gym, hardware_store, burger_joint : 38872
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, salon, pharmacy, gelateria, pizzeria, craft_shop, dentist, grocery_store, tech_shop : 47181
Saved path: noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, florist, gym, pizzeria, bookstore, dentist, cafe, burger_joint : 50409
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, bank : 41948
Saved path: bakery, barber_shop, party_store, pharmacy, gelateria, florist, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop : 36802
Saved path: barber_shop, party_store, gelateria, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, pet_store, bakery : 43418
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist, pizzeria, bookstore, cafe, grocery_store : 38561
Saved path: party_store, gelateria, florist, pizzeria, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, barber_shop : 48756
Saved path: jewelry_store, salon, bike_shop, bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy : 33325
Saved path: barber_shop, toy_store, tech_shop, grocery_store, dentist, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, jewelry_store : 51997
Saved path: cafe, dentist, craft_shop, bank, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 48991
Saved path: gym, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, dentist, craft_shop : 50285
Saved path: bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, grocery_store, tech_shop, burger_joint, craft_shop, bank, gelateria, music_store, party_store, salon : 45704
Saved path: burger_joint, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, music_store, gelateria, bank, gym : 51054
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore, cafe, burger_joint, toy_store, gym, hardware_store, jewelry_store : 45564
Saved path: party_store, pharmacy, gelateria, florist, bank, pizzeria, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store, bike_shop : 45774
Saved path: noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, burger_joint : 45577
Saved path: dentist, craft_shop, bank, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, hardware_store, burger_joint : 45095
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, party_store, florist, bank, craft_shop, bookstore, cafe : 38742
Saved path: bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym, pizzeria, bank, florist, gelateria : 50973
Saved path: gelateria, music_store, pharmacy, salon, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, bank : 47058
Saved path: tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, pharmacy, florist, craft_shop, dentist, grocery_store, toy_store, noodle_house : 38770
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, craft_shop, bank, florist, music_store, party_store, pet_store : 44968
Saved path: toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, bank, gelateria, music_store, party_store, salon, bakery, pet_store, hardware_store : 44674
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, music_store, bank, pizzeria, dentist, cafe, grocery_store, clothing_store : 48914
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, gelateria, music_store, pizzeria : 45833
Saved path: grocery_store, clothing_store, toy_store, jewelry_store, pet_store, salon, party_store, gelateria, music_store, florist, craft_shop, dentist, cafe, burger_joint, bookstore : 48471
Saved path: bookstore, cafe, dentist, craft_shop, pizzeria, music_store, pharmacy, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house : 52150
Saved path: barber_shop, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, hardware_store, salon, bakery, pet_store : 45688
Saved path: grocery_store, cafe, pizzeria, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, gym, toy_store, noodle_house : 44788
Saved path: salon, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, burger_joint, gym, pizzeria, craft_shop, florist, music_store, party_store : 41378
