Saved path: party_store, gelateria, music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 39847
Saved path: toy_store, hardware_store, pet_store, bakery, jewelry_store, barber_shop, party_store, pharmacy, gelateria, music_store, florist, bookstore, burger_joint, tech_shop, grocery_store : 46229
Saved path: noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, pizzeria, craft_shop, dentist, clothing_store, toy_store : 40811
Saved path: florist, bank, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, jewelry_store, salon, bike_shop, bakery, party_store, gelateria, music_store : 39032
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, music_store, gelateria, party_store, jewelry_store, salon, bakery, pet_store : 51188
Saved path: gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, hardware_store : 45269
Saved path: craft_shop, pizzeria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist : 43950
Saved path: jewelry_store, pet_store, bakery, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, gym, hardware_store : 49150
Saved path: hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore : 38665
Saved path: party_store, florist, bank, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, bike_shop, salon : 32929
Saved path: clothing_store, grocery_store, dentist, craft_shop, bank, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 45059
Saved path: burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store : 41859
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, burger_joint, cafe, bookstore : 43991
Saved path: cafe, bookstore, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, gym, toy_store, clothing_store, grocery_store, dentist : 50872
Saved path: bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, barber_shop : 41597
Saved path: hardware_store, gym, pizzeria, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, burger_joint : 39527
Saved path: bookstore, pizzeria, craft_shop, florist, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, dentist : 41720
Saved path: pizzeria, bookstore, cafe, clothing_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, gym : 43864
Saved path: dentist, craft_shop, music_store, gelateria, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, grocery_store : 44594
Saved path: cafe, dentist, bank, florist, music_store, gelateria, bakery, salon, jewelry_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 39013
Saved path: bakery, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, pizzeria, bank, gelateria, party_store : 38369
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, cafe, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 45371
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, dentist, clothing_store, toy_store, burger_joint, gym, bakery, pet_store : 49047
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, pharmacy, party_store, bakery, pet_store, bike_shop, hardware_store, burger_joint, noodle_house, toy_store : 44593
Saved path: party_store, salon, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, burger_joint, bookstore, dentist, craft_shop, florist, music_store, gelateria : 44790
Saved path: jewelry_store, gym, toy_store, noodle_house, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store : 48978
Saved path: bank, gelateria, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 49934
Saved path: bakery, pet_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, jewelry_store : 42416
Saved path: music_store, gelateria, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, craft_shop : 51276
Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, bookstore, cafe, dentist, grocery_store : 42185
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, gelateria, party_store, salon, bike_shop, pet_store, jewelry_store, gym, toy_store, tech_shop : 43703
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist : 33554
Saved path: gym, jewelry_store, bakery, pet_store, party_store, music_store, gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, burger_joint : 49250
Saved path: pharmacy, gelateria, music_store, florist, bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, salon, party_store : 43680
Saved path: bakery, party_store, pharmacy, florist, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store : 42361
