Saved path: cafe, dentist, craft_shop, gym, florist, music_store, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, bookstore : 50288
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, noodle_house : 38688
Saved path: barber_shop, music_store, florist, bank, pizzeria, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery : 49271
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, gelateria, bakery, salon, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store : 36021
Saved path: toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria, craft_shop, pizzeria, bookstore, cafe, clothing_store, tech_shop, noodle_house : 36006
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, bank, craft_shop, dentist, bookstore, grocery_store : 43369
Saved path: craft_shop, bank, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym : 40609
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop : 38841
Saved path: cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, music_store, florist, craft_shop, pizzeria, gym, burger_joint, bookstore : 45741
Saved path: gelateria, pharmacy, party_store, barber_shop, bakery, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, music_store : 41174
Saved path: clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, bakery, bike_shop, salon, gelateria, florist, bank, craft_shop, dentist : 37855
Saved path: pharmacy, gelateria, florist, craft_shop, pizzeria, cafe, clothing_store, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, pet_store, bakery : 44132
Saved path: music_store, gelateria, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, bank, florist : 47351
Saved path: florist, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, salon, bakery, gelateria, music_store : 37104
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, bookstore, cafe, grocery_store, tech_shop : 35041
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, music_store, florist, pizzeria, dentist : 48257
Saved path: craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, gym, burger_joint, cafe, bookstore : 36375
Saved path: tech_shop, burger_joint, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house : 35607
Saved path: cafe, burger_joint, tech_shop, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store : 41429
Saved path: gym, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, music_store, gelateria, bank, craft_shop : 51276
Saved path: dentist, craft_shop, bank, gym, bakery, pet_store, bike_shop, salon, party_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 47592
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, bookstore, dentist, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop : 39120
Saved path: pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank : 38600
Saved path: pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store, gym, pet_store, bakery, jewelry_store, party_store : 44853
Saved path: jewelry_store, barber_shop, party_store, pharmacy, music_store, bank, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery : 48587
Saved path: gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, jewelry_store, salon, bakery, pet_store : 45613
Saved path: bakery, pet_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, florist, pharmacy, party_store : 45152
Saved path: burger_joint, cafe, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bakery, pet_store, gym, toy_store, tech_shop : 44208
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria, pizzeria, craft_shop, gym, hardware_store, burger_joint, cafe : 33940
Saved path: gym, craft_shop, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, burger_joint : 47031
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop : 39270
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store, bank, dentist, cafe : 46240
Saved path: gym, pizzeria, florist, gelateria, pet_store, bakery, salon, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store : 45646
Saved path: toy_store, noodle_house, burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, bank, florist, gym, bakery, bike_shop, salon, barber_shop : 36386
