Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store : 36563
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store, bike_shop : 46982
Saved path: pizzeria, craft_shop, bank, gelateria, music_store, party_store, jewelry_store, bakery, pet_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore : 43344
Saved path: bookstore, bank, music_store, pharmacy, bakery, pet_store, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store : 45885
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bank, florist, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store : 36132
Saved path: cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist : 39547
Saved path: bookstore, burger_joint, gym, hardware_store, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 46430
Saved path: tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria, music_store, florist, pizzeria, bookstore, grocery_store, clothing_store : 38457
Saved path: cafe, bookstore, burger_joint, gym, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, grocery_store, dentist : 50044
Saved path: burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, craft_shop, gym : 35703
Saved path: pizzeria, bank, music_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist : 49551
Saved path: gelateria, pharmacy, party_store, salon, pet_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store : 47586
Saved path: dentist, grocery_store, clothing_store, toy_store, bookstore, burger_joint, hardware_store, barber_shop, bakery, salon, pharmacy, music_store, florist, bank, craft_shop : 40648
Saved path: gelateria, music_store, party_store, barber_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank : 40850
Saved path: burger_joint, noodle_house, toy_store, grocery_store, bookstore, pizzeria, bank, florist, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 42870
Saved path: gym, pet_store, salon, party_store, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 47398
Saved path: craft_shop, dentist, grocery_store, cafe, bookstore, noodle_house, toy_store, gym, pet_store, bakery, salon, jewelry_store, pharmacy, gelateria, bank : 48016
Saved path: burger_joint, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, salon, music_store, gelateria, party_store, hardware_store : 51531
Saved path: hardware_store, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, florist, bank, gym : 49590
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bike_shop, salon, party_store, music_store, gelateria, pizzeria : 40632
Saved path: bakery, party_store, pharmacy, florist, bank, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, bike_shop : 32495
Saved path: bakery, pet_store, bike_shop, jewelry_store, gym, toy_store, clothing_store, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy : 44228
Saved path: pizzeria, craft_shop, bank, florist, pharmacy, salon, bakery, pet_store, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, bookstore : 39948
Saved path: pharmacy, florist, bank, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery : 32262
Saved path: dentist, craft_shop, pizzeria, gym, bakery, pet_store, bike_shop, party_store, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, cafe, grocery_store : 45248
Saved path: bakery, barber_shop, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, salon : 41583
Saved path: gelateria, pharmacy, salon, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop : 44507
Saved path: florist, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store : 32556
Saved path: pharmacy, party_store, salon, bike_shop, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist : 39011
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, party_store, salon, bike_shop, bakery, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe : 34802
Saved path: gelateria, pharmacy, party_store, salon, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, music_store : 32583
Saved path: bank, gelateria, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria : 40805
Saved path: burger_joint, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 37787
Saved path: pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, jewelry_store, bakery, salon, party_store : 37046
Saved path: grocery_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, dentist : 48839
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, florist, pizzeria, dentist, cafe, grocery_store : 46704
