Saved path: bakery, barber_shop, party_store, music_store, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 52888
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, party_store, bakery, pet_store : 44530
Saved path: cafe, dentist, bank, music_store, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store : 50822
Saved path: gym, florist, music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint : 45701
Saved path: hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, bike_shop : 40419
Saved path: bike_shop, bakery, pharmacy, music_store, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, jewelry_store, salon : 39991
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store : 46009
Saved path: craft_shop, gym, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store : 44293
Saved path: toy_store, barber_shop, bakery, bike_shop, pharmacy, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, cafe, tech_shop, noodle_house : 38688
Saved path: tech_shop, bookstore, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, gym, florist, dentist, grocery_store, clothing_store, toy_store, noodle_house : 45038
Saved path: pizzeria, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, bookstore : 46325
Saved path: hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, florist, bank, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym : 41750
Saved path: bank, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store : 41915
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, bank, craft_shop, gym : 38237
Saved path: jewelry_store, hardware_store, bookstore, cafe, grocery_store, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop : 50493
Saved path: salon, bike_shop, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy : 39449
Saved path: burger_joint, cafe, bank, florist, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop : 42945
Saved path: dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, bakery, jewelry_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 38651
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, bank, gym, burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store : 40750
Saved path: florist, bank, pizzeria, dentist, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria : 44697
Saved path: jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store : 50161
Saved path: craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, gym, toy_store, grocery_store, dentist : 41198
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 50517
Saved path: bank, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, party_store, florist : 40797
Saved path: bike_shop, salon, gelateria, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery, pet_store : 41752
Saved path: salon, bike_shop, bakery, barber_shop, party_store, gelateria, pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 42175
Saved path: grocery_store, cafe, dentist, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 47740
Saved path: burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, bakery, salon, hardware_store, gym : 37716
Saved path: pizzeria, bookstore, burger_joint, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, pharmacy, gelateria, florist : 44061
Saved path: florist, bank, gym, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, barber_shop, pet_store, bakery, pharmacy, gelateria, music_store : 51432
Saved path: bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, burger_joint, dentist, craft_shop, pizzeria, bank, music_store, gelateria, party_store : 41413
Saved path: grocery_store, tech_shop, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, florist, pizzeria, bookstore, cafe, dentist : 51984
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, pizzeria, bookstore, dentist : 35614
Saved path: music_store, gelateria, bank, craft_shop, pizzeria, gym, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store : 45786
Saved path: gym, hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store : 41005
