Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, pizzeria, burger_joint : 44887
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, pizzeria, craft_shop, bank, florist, gelateria, pharmacy : 33801
Saved path: bakery, party_store, pharmacy, music_store, bank, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store : 40923
Saved path: hardware_store, barber_shop, jewelry_store, salon, bakery, gelateria, florist, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym : 35991
Saved path: florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store : 44017
Saved path: gelateria, pharmacy, barber_shop, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, craft_shop, bank, florist : 33781
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, gym, toy_store, tech_shop, burger_joint, cafe, dentist : 40734
Saved path: party_store, pharmacy, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bike_shop, salon : 45144
Saved path: bakery, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy, party_store, salon, bike_shop : 29815
Saved path: cafe, dentist, craft_shop, pizzeria, bank, gelateria, music_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop : 40962
Saved path: pet_store, bike_shop, salon, pharmacy, gelateria, bank, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery : 47788
Saved path: music_store, gelateria, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, florist : 39761
Saved path: gym, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, music_store, florist, craft_shop : 42120
Saved path: pet_store, party_store, music_store, craft_shop, dentist, cafe, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bakery : 48119
Saved path: bike_shop, salon, jewelry_store, hardware_store, gym, bank, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, party_store, bakery, pet_store : 46982
Saved path: gym, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, florist, craft_shop, dentist, bookstore, grocery_store, toy_store : 42859
Saved path: bank, florist, music_store, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, gym : 51487
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, gelateria, party_store, bakery, pet_store : 43871
Saved path: craft_shop, pizzeria, gym, burger_joint, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, florist : 51277
Saved path: pet_store, bike_shop, salon, party_store, gelateria, florist, bank, pizzeria, bookstore, dentist, cafe, tech_shop, noodle_house, toy_store, bakery : 42802
Saved path: pizzeria, craft_shop, bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, bookstore : 42585
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, dentist, craft_shop, pizzeria, florist : 40821
Saved path: party_store, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, music_store, pharmacy : 34826
Saved path: dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bakery, bike_shop, pharmacy, florist, bank, bookstore, cafe : 37498
Saved path: hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, music_store, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint : 50086
Saved path: jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 43590
Saved path: pharmacy, party_store, jewelry_store, bakery, pet_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, florist, music_store, gelateria : 49810
Saved path: bookstore, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, music_store, florist, bank, gym, hardware_store, burger_joint, cafe : 47811
Saved path: salon, party_store, music_store, florist, bank, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, bakery, pet_store, bike_shop : 46974
Saved path: bank, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop : 33345
Saved path: dentist, craft_shop, pizzeria, bank, florist, pharmacy, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe : 32771
Saved path: cafe, burger_joint, hardware_store, bakery, pet_store, bike_shop, party_store, music_store, gelateria, bank, gym, toy_store, tech_shop, clothing_store, grocery_store : 44013
Saved path: hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, pizzeria, bookstore, cafe, burger_joint, noodle_house, toy_store, gym : 44933
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, gym, florist, music_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store : 52698
Saved path: dentist, craft_shop, pizzeria, bank, music_store, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store : 48628
