Saved path: music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, pizzeria, bank : 47865
Saved path: tech_shop, clothing_store, toy_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, noodle_house : 46014
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, party_store : 38131
Saved path: craft_shop, florist, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore : 45625
Saved path: hardware_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, bank, florist, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store : 47009
Saved path: gelateria, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, gym : 44912
Saved path: jewelry_store, salon, bike_shop, bakery, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, music_store : 42499
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, salon, bike_shop, bakery, gelateria, florist, craft_shop, dentist, cafe, clothing_store : 37321
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore, dentist, florist, gelateria, party_store, salon, bike_shop, pet_store, bakery : 48801
Saved path: pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, party_store, pharmacy, music_store, bank, craft_shop : 45390
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, gelateria, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 43503
Saved path: cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, florist, pizzeria, bookstore : 38945
Saved path: bookstore, cafe, dentist, craft_shop, pizzeria, gym, bank, music_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 51440
Saved path: bakery, salon, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, pet_store : 46993
Saved path: craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist : 36451
Saved path: salon, pharmacy, gelateria, music_store, pizzeria, craft_shop, dentist, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 50120
Saved path: gym, pizzeria, bank, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint : 43759
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, salon, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe : 36985
Saved path: bookstore, bank, florist, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, dentist, cafe : 48683
Saved path: noodle_house, toy_store, bakery, bike_shop, salon, jewelry_store, hardware_store, gym, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint : 33843
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, bank : 35047
Saved path: grocery_store, dentist, craft_shop, bank, gelateria, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe : 41705
Saved path: clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, gelateria, florist, bank, craft_shop, bookstore, cafe : 33942
Saved path: barber_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist, burger_joint, noodle_house, toy_store, hardware_store : 39747
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, bakery : 42295
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist, florist, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 50497
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, pet_store, bakery, gelateria, music_store, florist, bank, dentist, cafe, burger_joint : 50862
Saved path: grocery_store, toy_store, barber_shop, pet_store, bakery, salon, party_store, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore : 46796
Saved path: gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, bank, pizzeria, dentist, grocery_store, clothing_store, tech_shop, toy_store : 39225
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, bakery, pet_store, hardware_store : 44189
Saved path: bakery, gym, toy_store, noodle_house, tech_shop, dentist, craft_shop, pizzeria, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop : 34779
Saved path: music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, dentist, gym, florist : 42419
Saved path: florist, craft_shop, cafe, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store : 46295
Saved path: salon, party_store, gelateria, music_store, bank, pizzeria, bookstore, cafe, dentist, burger_joint, toy_store, jewelry_store, bakery, pet_store, bike_shop : 48387
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, pizzeria, burger_joint : 36384
