Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, bookstore, dentist, cafe, burger_joint, noodle_house, toy_store, gym : 51228
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, bank : 42614
Saved path: salon, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, pharmacy, party_store, bakery, pet_store : 44424
Saved path: bookstore, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, jewelry_store, party_store, music_store, florist, bank, pizzeria : 39464
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, bank, music_store, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store : 36241
Saved path: salon, jewelry_store, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, bakery, pet_store : 48053
Saved path: clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, gelateria, craft_shop, dentist, cafe, burger_joint, tech_shop : 42784
Saved path: barber_shop, jewelry_store, salon, bakery, gelateria, music_store, florist, bank, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, toy_store : 38924
Saved path: music_store, gelateria, pharmacy, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, bank : 32481
Saved path: bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, burger_joint, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy : 36074
Saved path: gym, toy_store, noodle_house, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store : 50680
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe : 46164
Saved path: pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, gelateria : 48190
Saved path: dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, music_store, florist, bank, craft_shop, pizzeria, bookstore : 43442
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, barber_shop, bakery, bike_shop, salon, hardware_store, gym, toy_store : 37776
Saved path: bakery, barber_shop, toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, bank, florist, music_store, party_store, pet_store : 47230
Saved path: dentist, bookstore, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, gym : 49239
Saved path: pizzeria, bank, florist, pharmacy, salon, bike_shop, bakery, jewelry_store, burger_joint, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore : 37202
Saved path: bookstore, cafe, dentist, craft_shop, bank, music_store, gelateria, party_store, salon, bakery, pet_store, gym, toy_store, clothing_store, grocery_store : 47165
Saved path: cafe, dentist, florist, gym, hardware_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint : 46106
Saved path: toy_store, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, jewelry_store, barber_shop : 49146
Saved path: tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria, dentist, grocery_store, clothing_store, toy_store : 45947
Saved path: clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, pharmacy, party_store, bakery, pet_store, bike_shop, gym, burger_joint, tech_shop, toy_store : 40998
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe, gym, craft_shop, florist : 43854
Saved path: pet_store, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, clothing_store, toy_store, hardware_store : 43155
Saved path: toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, music_store, dentist, grocery_store : 52645
Saved path: bank, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, gelateria, music_store : 41006
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 45501
Saved path: jewelry_store, salon, bike_shop, bakery, party_store, pharmacy, music_store, florist, bank, gym, burger_joint, tech_shop, clothing_store, toy_store, hardware_store : 35570
Saved path: barber_shop, bakery, bike_shop, salon, pharmacy, florist, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 34186
Saved path: pharmacy, gelateria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, pet_store, salon, party_store : 44181
Saved path: jewelry_store, bakery, bike_shop, party_store, pharmacy, bank, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store : 39024
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, bookstore, craft_shop, gelateria : 47935
Saved path: dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, bank, pizzeria, craft_shop : 46569
Saved path: burger_joint, cafe, clothing_store, toy_store, gym, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store : 41299
