Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, pet_store, gym, burger_joint : 47663
Saved path: bike_shop, salon, music_store, gelateria, party_store, hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, bakery : 40752
Saved path: craft_shop, bank, florist, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist : 35677
Saved path: bakery, pet_store, salon, party_store, gelateria, pizzeria, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop : 46244
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, cafe, craft_shop, florist, music_store, pharmacy, party_store, bakery, pet_store, salon, jewelry_store : 43597
Saved path: bakery, bike_shop, salon, party_store, gelateria, florist, bank, craft_shop, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store : 34389
Saved path: clothing_store, cafe, bookstore, burger_joint, hardware_store, bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist : 39633
Saved path: cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, craft_shop, dentist : 40951
Saved path: pizzeria, bank, florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 44238
Saved path: gelateria, music_store, bank, gym, pizzeria, bookstore, cafe, dentist, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 44120
Saved path: pet_store, bakery, jewelry_store, party_store, gelateria, florist, bank, craft_shop, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store : 41565
Saved path: pizzeria, bookstore, hardware_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, florist : 46234
Saved path: bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, gym, craft_shop, music_store, gelateria, pharmacy, party_store : 40018
Saved path: party_store, music_store, florist, gym, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon : 53286
Saved path: music_store, salon, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist : 34875
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, music_store, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, bakery : 43641
Saved path: gym, craft_shop, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria : 46848
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bakery, bike_shop, salon, pharmacy, florist, bank : 30291
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, bike_shop, jewelry_store, hardware_store : 41596
Saved path: pizzeria, bank, craft_shop, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, bookstore : 40723
Saved path: pharmacy, music_store, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, bike_shop : 46068
Saved path: jewelry_store, salon, bakery, party_store, gelateria, music_store, craft_shop, gym, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 36881
Saved path: pizzeria, craft_shop, bank, florist, gym, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore : 39209
Saved path: toy_store, clothing_store, tech_shop, burger_joint, cafe, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store : 44971
Saved path: dentist, craft_shop, florist, gelateria, pharmacy, salon, bakery, jewelry_store, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, grocery_store : 38281
Saved path: craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, noodle_house, clothing_store, grocery_store, cafe, bookstore : 43386
Saved path: cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, party_store, music_store, florist, craft_shop, pizzeria : 45429
Saved path: pharmacy, party_store, bakery, pet_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria : 43500
Saved path: salon, jewelry_store, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, grocery_store, clothing_store, toy_store, gym, bakery, pet_store : 41285
Saved path: bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank, bookstore, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, salon : 45346
Saved path: gelateria, pharmacy, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, music_store : 51537
Saved path: music_store, pharmacy, party_store, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, florist : 50307
Saved path: bookstore, pizzeria, craft_shop, bank, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, cafe : 44663
Saved path: barber_shop, pharmacy, gelateria, bank, pizzeria, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery : 49609
Saved path: salon, pet_store, bakery, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, toy_store, gym, jewelry_store : 43463
Saved path: bookstore, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, pharmacy, florist, pizzeria : 47589
