Saved path: bank, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym : 37859
Saved path: jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store, pharmacy, party_store, pet_store : 44719
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, music_store, pharmacy, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store : 40227
Saved path: noodle_house, toy_store, hardware_store, bakery, party_store, pharmacy, music_store, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop : 34819
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist : 40317
Saved path: cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, jewelry_store, bike_shop, pet_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store : 48334
Saved path: toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, gym : 39671
Saved path: tech_shop, burger_joint, cafe, bookstore, music_store, gelateria, pharmacy, salon, bakery, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house : 44947
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store, bakery, pet_store : 42121
Saved path: bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, gym, hardware_store, salon, bike_shop, pet_store : 41729
Saved path: grocery_store, cafe, pizzeria, bank, gelateria, party_store, salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store : 38771
Saved path: burger_joint, cafe, craft_shop, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 42101
Saved path: tech_shop, burger_joint, gym, hardware_store, pet_store, bike_shop, jewelry_store, party_store, music_store, florist, craft_shop, dentist, clothing_store, toy_store, noodle_house : 50713
Saved path: pet_store, bike_shop, salon, pharmacy, florist, bank, craft_shop, gym, burger_joint, bookstore, dentist, clothing_store, toy_store, barber_shop, bakery : 50446
Saved path: pharmacy, gelateria, music_store, florist, bookstore, cafe, dentist, clothing_store, noodle_house, hardware_store, bike_shop, pet_store, bakery, barber_shop, party_store : 52141
Saved path: pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, florist, gelateria, party_store, barber_shop, bakery : 49186
Saved path: clothing_store, tech_shop, noodle_house, toy_store, pet_store, salon, jewelry_store, party_store, pharmacy, florist, craft_shop, pizzeria, gym, burger_joint, cafe : 42812
Saved path: hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, salon : 53902
Saved path: bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, bike_shop, bakery, jewelry_store, gelateria, bank, craft_shop, pizzeria : 35593
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, craft_shop, gym, toy_store, clothing_store, tech_shop, noodle_house, bakery, pet_store : 42798
Saved path: gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, bank : 38808
Saved path: noodle_house, burger_joint, dentist, pizzeria, bank, music_store, pharmacy, salon, pet_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 51567
Saved path: toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym : 53902
Saved path: toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, florist, bank, craft_shop, dentist, cafe, grocery_store : 36482
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store : 36774
Saved path: bank, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, pharmacy, music_store, gelateria : 36626
Saved path: dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, craft_shop, pizzeria, bookstore : 42362
Saved path: dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, bank, craft_shop : 48001
Saved path: gym, hardware_store, jewelry_store, salon, bike_shop, bakery, toy_store, clothing_store, grocery_store, dentist, burger_joint, bookstore, pizzeria, bank, craft_shop : 34019
Saved path: tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store : 51374
Saved path: pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, florist : 37170
Saved path: salon, bike_shop, bakery, burger_joint, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, craft_shop, florist, gelateria, pharmacy, party_store : 33112
Saved path: salon, bike_shop, pharmacy, music_store, gelateria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store : 41681
Saved path: burger_joint, dentist, clothing_store, toy_store, gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore : 40559
Saved path: toy_store, clothing_store, dentist, craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, gym, burger_joint, bookstore, tech_shop : 46951
