Saved path: pharmacy, gelateria, bank, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 38618
Saved path: bank, craft_shop, dentist, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store : 51646
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, pizzeria, bank, gelateria, pharmacy, bakery, salon : 31265
Saved path: tech_shop, grocery_store, clothing_store, toy_store, gym, pizzeria, craft_shop, bank, florist, pharmacy, party_store, jewelry_store, salon, bakery, burger_joint : 31253
Saved path: hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, bank, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym : 35132
Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint : 43888
Saved path: salon, bakery, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy : 32991
Saved path: party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, pharmacy, gelateria : 49265
Saved path: jewelry_store, bike_shop, party_store, music_store, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store : 43424
Saved path: gelateria, party_store, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, bank : 41051
Saved path: toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, barber_shop, bakery, salon, hardware_store : 41489
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, florist, bank, pizzeria, dentist, cafe, grocery_store : 40997
Saved path: bank, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, noodle_house, barber_shop, jewelry_store, pet_store, bakery, pharmacy, gelateria, florist : 50519
Saved path: noodle_house, clothing_store, bookstore, craft_shop, florist, music_store, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 40381
Saved path: salon, party_store, pharmacy, music_store, gelateria, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, bike_shop : 35138
Saved path: bakery, bike_shop, hardware_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, florist, music_store, barber_shop : 41292
Saved path: salon, party_store, hardware_store, craft_shop, bank, pizzeria, burger_joint, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 44178
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, salon, gym : 36359
Saved path: gym, toy_store, noodle_house, clothing_store, bookstore, pizzeria, bank, florist, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store : 37186
Saved path: noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, pharmacy, pet_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint : 49987
Saved path: gelateria, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, salon, bike_shop, pet_store, bakery : 44332
Saved path: jewelry_store, salon, bike_shop, party_store, gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, hardware_store : 40951
Saved path: bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, pizzeria, craft_shop, bank, florist, music_store, gelateria : 42949
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, clothing_store, cafe, burger_joint, bookstore, pizzeria, craft_shop : 44396
Saved path: craft_shop, florist, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, bookstore, dentist : 52520
Saved path: salon, jewelry_store, party_store, pharmacy, music_store, florist, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, pet_store, bike_shop : 50125
Saved path: bike_shop, gym, toy_store, tech_shop, burger_joint, cafe, dentist, bookstore, pizzeria, bank, florist, music_store, pharmacy, bakery, pet_store : 47887
Saved path: pizzeria, craft_shop, florist, gelateria, barber_shop, jewelry_store, bakery, salon, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore : 38861
Saved path: party_store, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, gym, jewelry_store, salon, bakery, pet_store : 47917
Saved path: pizzeria, craft_shop, bank, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 34041
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, gelateria, music_store, bank : 49293
Saved path: party_store, pharmacy, gelateria, music_store, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, bike_shop, bakery : 40811
Saved path: bookstore, pizzeria, gym, craft_shop, music_store, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe : 48353
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, gym, pizzeria, bookstore, burger_joint, tech_shop, clothing_store, toy_store : 38916
Saved path: salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, gym, florist, music_store, gelateria, party_store, bakery, pet_store : 46847
